T2,T3,T4,T5,T6,T7,T8
0.502238519,0.519260821,0.525695562,0.554927075,0.215753574,0.198648538,0.343765228
0.47609553,0.502783924,0.498619151,0.58696762,0.431310544,0.424435595,0.484053822
0.459752328,0.484297119,0.503709046,0.614119747,0.528073458,0.525001789,0.552749416
0.45815273,0.474541403,0.511754502,0.626995019,0.573332271,0.572028628,0.584958887
0.462284915,0.47237349,0.518309376,0.634232477,0.594883652,0.594353505,0.600792159
0.467618739,0.474468993,0.523808332,0.639376232,0.606176914,0.605968688,0.609694474
0.472899742,0.478530666,0.528907925,0.643716812,0.613209644,0.613131528,0.615747628
0.477995396,0.483408524,0.53390472,0.647731226,0.618500838,0.618474434,0.620637451
0.482986165,0.488610763,0.538888713,0.651608207,0.623079271,0.623072585,0.625049088
0.487936798,0.49394401,0.543878331,0.655427328,0.627363228,0.62736325,0.629262881
0.492252816,0.498103834,0.546176561,0.689437989,0.633292424,0.631526804,0.647963229
0.494288427,0.500525393,0.549098179,0.693730913,0.658570572,0.657971555,0.664654658
0.497797168,0.503648662,0.554795168,0.697915988,0.669915481,0.669700336,0.673157516
0.502652949,0.508016927,0.560343003,0.701687744,0.676353995,0.676270515,0.678608812
0.507826795,0.513129595,0.565598151,0.705472763,0.681143418,0.681097435,0.683102634
0.51297262,0.51855053,0.570735567,0.70930675,0.685457876,0.685419367,0.687340785
0.518060323,0.524071919,0.575848737,0.713164785,0.689656463,0.689617331,0.691522049
0.523120195,0.52962156,0.580964623,0.717031418,0.693832567,0.693791097,0.695694042
0.528173063,0.535179782,0.586086909,0.72090184,0.698006469,0.697962193,0.699866507
0.533227066,0.540743235,0.59121482,0.724775615,0.702182416,0.702135332,0.704041643
0.563945068,0.548692251,0.596446112,0.607260777,0.699262351,0.706311298,0.649690389
0.607141224,0.56470455,0.60064961,0.568061619,0.612942447,0.617524008,0.581698953
0.637177093,0.584168894,0.602905364,0.52284616,0.547974333,0.551669731,0.523486535
0.658071832,0.604016008,0.604958041,0.484939354,0.495620845,0.498693027,0.475918286
0.672877534,0.622689699,0.607450038,0.454400662,0.453332252,0.455896125,0.437531124
0.683762715,0.639543715,0.610529539,0.430055928,0.419368588,0.421512827,0.406782298
0.692195583,0.654442025,0.614132731,0.410787835,0.392265262,0.394064936,0.382315897
